case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0036,edema_inclusive,0.647834274952919,0.479108635097493,5.991547594742253,1.350708712824624,ok,0.5235920852359208,0.8493827160493828,657,405,voxel,5.991547594742253,1.350708712824624,0.647834274952919,5.991547594742253,0.13588262800021766
case0036,myocardial_ring,0.898720578181463,0.8160695282014899,1.0,0.2045337768909718,ok,0.8671315491895967,0.9326981552807622,5306,4933,voxel,1.0,0.2045337768909718,0.898720578181463,1.0,0.13588262800021766
case0041,normal_myocardium,0.5275427711975935,0.3582737487231869,6.782329983125268,1.6316273998810231,ok,0.8040114613180516,0.39255735870173475,1745,3574,voxel,6.782329983125268,1.6316273998810231,0.5275427711975935,6.782329983125268,0.12663372000042727
case0041,edema,0.5184859154929577,0.34997029114676176,5.0990195135927845,1.2280117955429852,ok,0.4596176355833008,0.5946491670873296,2563,1981,voxel,5.0990195135927845,1.2280117955429852,0.5184859154929577,5.0990195135927845,0.12663372000042727
case0041,scar,0.4179597226807527,0.26419031719532554,4.123105625617661,1.260910363538228,ok,0.3297733784839802,0.5705272645335737,3839,2219,voxel,4.123105625617661,1.260910363538228,0.4179597226807527,4.123105625617661,0.12663372000042727
case0041,edema_inclusive,0.6604414261460102,0.49302915082382764,3.0,0.7734909205628645,ok,0.5468603561387066,0.8335714285714285,6402,4200,voxel,3.0,0.7734909205628645,0.6604414261460102,3.0,0.12663372000042727
case0041,myocardial_ring,0.8666541046416683,0.7646863223232099,1.0,0.25310677129178655,ok,0.8468147784460538,0.8874453305891433,8147,7774,voxel,1.0,0.25310677129178655,0.8666541046416683,1.0,0.12663372000042727
case0046,normal_myocardium,0.7640830156713257,0.6182316655243317,2.23606797749979,0.4067396111237551,ok,0.7919227392449517,0.7381342062193126,2278,2444,voxel,2.23606797749979,0.4067396111237551,0.7640830156713257,2.23606797749979,0.05823142899953382
case0046,edema,0.7506765899864682,0.6008665041971297,1.4142135623730951,0.4119717344197363,ok,0.7006630880959899,0.8083788706739526,3167,2745,voxel,1.4142135623730951,0.4119717344197363,0.7506765899864682,1.4142135623730951,0.05823142899953382
case0046,scar,0.33226837060702874,0.19923371647509577,5.0990195135927845,1.5108850190184366,ok,0.32142857142857145,0.3438648052902278,1456,1361,voxel,5.0990195135927845,1.5108850190184366,0.33226837060702874,5.0990195135927845,0.05823142899953382
case0046,edema_inclusive,0.8028411043647612,0.670622009569378,1.4142135623730951,0.3599328397816769,ok,0.7579493835171967,0.8533852898197759,4623,4106,voxel,1.4142135623730951,0.3599328397816769,0.8028411043647612,1.4142135623730951,0.05823142899953382
case0046,myocardial_ring,0.8617946621069066,0.7571521881123449,1.0,0.2197103528427612,ok,0.8398782785103608,0.8848854961832061,6901,6550,voxel,1.0,0.2197103528427612,0.8617946621069066,1.0,0.05823142899953382
case0051,normal_myocardium,0.7517647058823529,0.6022620169651273,2.23606797749979,0.5394675825808491,ok,0.8285788381742739,0.687984496124031,3856,4644,voxel,2.23606797749979,0.5394675825808491,0.7517647058823529,2.23606797749979,0.12845226199988247
case0051,edema,0.777509068923821,0.636003956478734,2.23606797749979,0.7250904147404417,ok,0.7820006080875647,0.7730688307784791,3289,3327,voxel,2.23606797749979,0.7250904147404417,0.777509068923821,2.23606797749979,0.12845226199988247
case0051,scar,0.4262659988870339,0.2708628005657709,10.377837521625857,2.034965518360419,ok,0.4080255681818182,0.4462135922330097,2816,2575,voxel,10.377837521625857,2.034965518360419,0.4262659988870339,10.377837521625857,0.12845226199988247
