case,region,dice_M2,iou_M2,hd95_voxel_M2,precision_M2,recall_M2,official_dice_M2,official_hd95_voxel_M2,dice_M3,iou_M3,hd95_voxel_M3,precision_M3,recall_M3,official_dice_M3,official_hd95_voxel_M3,dice_diff (M3-M2),hd95_diff (M3-M2),official_dice_diff (M3-M2)
case0041,myocardial_ring,0.8666541046416683,0.7646863223232099,1.0,0.8468147784460538,0.8874453305891433,0.8666541046416683,1.0,0.8529338637493784,0.743578627939742,1.0,0.8252345441424104,0.8825572420890146,0.8529338637493784,1.0,-0.013720240892289848,0.0,-0.013720240892289848
case0046,normal_myocardium,0.7640830156713257,0.6182316655243317,2.23606797749979,0.7919227392449517,0.7381342062193126,0.7640830156713257,2.23606797749979,0.7993705743509048,0.6657929226736566,1.7320508075688772,0.7696969696969697,0.8314238952536824,0.7993705743509048,1.7320508075688772,0.035287558679579,-0.5040171699309126,0.035287558679579
case0046,edema,0.7506765899864682,0.6008665041971297,1.4142135623730951,0.7006630880959899,0.8083788706739526,0.7506765899864682,1.4142135623730951,0.7588526912181303,0.6114122681883024,1.4142135623730951,0.7382018601446779,0.7806921675774134,0.7588526912181303,1.4142135623730951,0.008176101231662014,0.0,0.008176101231662014
case0046,scar,0.3322683706070287,0.1992337164750957,5.0990195135927845,0.3214285714285714,0.3438648052902278,0.3322683706070287,5.0990195135927845,0.353903345724907,0.2149954832881662,3.0,0.3581640331075997,0.3497428361498897,0.353903345724907,3.0,0.02163497511787832,-2.0990195135927845,0.02163497511787832
case0046,edema_inclusive,0.8028411043647612,0.670622009569378,1.4142135623730951,0.7579493835171967,0.8533852898197759,0.8028411043647612,1.4142135623730951,0.832094027344687,0.7124666255904704,1.0,0.8197069943289225,0.8448611787627862,0.832094027344687,1.0,0.029252922979925766,-0.41421356237309515,0.029252922979925766
case0046,myocardial_ring,0.8617946621069066,0.7571521881123449,1.0,0.8398782785103608,0.8848854961832061,0.8617946621069066,1.0,0.8690210102816271,0.7683794466403162,1.0,0.8486612339930152,0.890381679389313,0.8690210102816271,1.0,0.007226348174720565,0.0,0.007226348174720565
case0051,normal_myocardium,0.7517647058823529,0.6022620169651273,2.23606797749979,0.8285788381742739,0.687984496124031,0.7517647058823529,2.23606797749979,0.792517394775864,0.6563385603627433,2.0,0.842590346834829,0.748062015503876,0.792517394775864,2.0,0.040752688893511135,-0.2360679774997898,0.040752688893511135
case0051,edema,0.777509068923821,0.636003956478734,2.23606797749979,0.7820006080875647,0.7730688307784791,0.777509068923821,2.23606797749979,0.7486585710251341,0.5982848115549537,12.010398644698077,0.7059920106524634,0.7968139464983469,0.7486585710251341,12.010398644698077,-0.028850497898686878,9.774330667198287,-0.028850497898686878
case0051,scar,0.4262659988870339,0.2708628005657709,10.377837521625857,0.4080255681818182,0.4462135922330097,0.4262659988870339,10.377837521625857,0.4517282479141835,0.2917628945342571,6.4031242374328485,0.4623830825538837,0.4415533980582524,0.4517282479141835,6.4031242374328485,0.025462249027149553,-3.974713284193008,0.025462249027149553
case0051,edema_inclusive,0.7800449737653036,0.639404696886947,6.708203932499369,0.7670761670761671,0.7934598441206371,0.7800449737653036,6.708203932499369,0.7953119841531858,0.6601808714716361,7.280109889280518,0.7753459929192147,0.8163334462893934,0.7953119841531858,7.280109889280518,0.015267010387882252,0.5719059567811486,0.015267010387882252
case0051,myocardial_ring,0.9005705368898425,0.8191253437416837,1.0,0.9270153599036242,0.8755926417599089,0.9005705368898425,1.0,0.9034142604031988,0.8238427947598254,1.0,0.9125471606849184,0.8944623553954106,0.9034142604031988,1.0,0.0028437235133563776,0.0,0.0028437235133563776
case0056,normal_myocardium,0.8410415856976292,0.7256874580818243,1.4142135623730951,0.9309528930952892,0.7669679248626617,0.8410415856976292,1.4142135623730951,0.8266241530490235,0.704483695652174,1.4142135623730951,0.944229455952652,0.735069998227893,0.8266241530490235,1.4142135623730951,-0.014417432648605732,0.0,-0.014417432648605732
case0056,edema,0.7984790874524715,0.6645569620253164,2.0,0.8116654954321855,0.7857142857142857,0.7984790874524715,2.0,0.7967651195499297,0.6621858562244302,2.0,0.8245997088791849,0.7707482993197279,0.7967651195499297,2.0,-0.0017139679025418575,0.0,-0.0017139679025418575
case0056,scar,0.1524390243902439,0.0825082508250825,22.02271554554524,0.10148849797023,0.3061224489795918,0.1524390243902439,22.02271554554524,0.1815772034459907,0.0998542274052478,33.166062629910044,0.108386075949367,0.5591836734693878,0.1815772034459907,33.166062629910044,0.02913817905574681,11.143347084364805,0.02913817905574681
case0056,edema_inclusive,0.7340727366520505,0.5798696006519968,5.00990195135927,0.6581868640148011,0.8297376093294461,0.7340727366520505,5.00990195135927,0.695152768205835,0.5327464788732394,27.727223197575068,0.5735405610310842,0.8822157434402332,0.695152768205835,27.727223197575068,-0.03891996844621548,22.717321246215796,-0.03891996844621548
